scenario,seed,steps,burn_in,lookahead,final_age,mean_postburn_age,replacement_rate,switch_rate,final_abs_habitus
Decision-aware,20260744,5000,1000,20,578.2291666666666,518.3379010416667,0.0020364583333333333,0.0402006848375055,0.7477040005483108
Decision-aware,20260745,5000,1000,20,679.875,558.5071979166665,0.002015625,0.044601467116820386,0.8622361217729745
Decision-aware,20260746,5000,1000,20,722.1875,633.7333385416667,0.00159375,0.03973546607378131,0.7982174078692931
Decision-aware,20260747,5000,1000,20,349.9583333333333,578.9400885416665,0.0020208333333333332,0.044448554841897234,0.9075431088865679
Decision-aware,20260748,5000,1000,20,372.7916666666667,388.90677604166666,0.002510416666666667,0.04311651844532281,0.6593850354803076
Decision-aware,20260749,5000,1000,20,635.2291666666666,450.51944270833326,0.0021822916666666666,0.042577522507685574,0.5179528500981335
Decision-aware,20260750,5000,1000,20,266.3333333333333,463.4565625000001,0.002463541666666667,0.04992780110891525,0.595417881860515
Decision-aware,20260751,5000,1000,20,522.375,448.3830468750001,0.0022291666666666666,0.04434732927097059,0.6641719403447679
Decision-aware,20260752,5000,1000,20,457.9791666666667,459.91655729166683,0.0021875,0.04394406702898551,0.7811049616507346
Decision-aware,20260753,5000,1000,20,487.1875,577.0256197916667,0.0018958333333333334,0.04238224637681161,0.7262692010471921
Decision-aware,20260754,5000,1000,20,338.2291666666667,473.35004166666675,0.0022604166666666667,0.0441790047211243,0.775944665203084
Decision-aware,20260755,5000,1000,20,683.4583333333334,488.38153645833324,0.0018958333333333334,0.048884222661396595,0.5384152096939713
Decision-aware,20260756,5000,1000,20,458.5833333333333,488.3703229166668,0.0020364583333333333,0.04658763998682478,0.6269487298953419
Decision-aware,20260757,5000,1000,20,409.9375,450.8731666666665,0.0023020833333333335,0.040671408377250785,0.7878637554892234
Decision-aware,20260758,5000,1000,20,663.8125,640.7727864583333,0.0017239583333333334,0.04242032279314888,0.5265743012635404
Decision-aware,20260759,5000,1000,20,712.1458333333334,485.8638125,0.002026041666666667,0.04344276460254723,0.48588464718307156
Two-frame naive,20260730,5000,1000,20,289.25,281.2999479166666,0.00403125,0.04977433300395258,0.601598460962004
Two-frame naive,20260731,5000,1000,20,307.0,309.9182447916667,0.004005208333333334,0.05127360464113183,0.7542584462986541
Two-frame naive,20260732,5000,1000,20,402.8125,352.98441145833317,0.0033229166666666667,0.04926107680061486,0.7283175681953673
Two-frame naive,20260733,5000,1000,20,307.0,300.95907291666674,0.003890625,0.050371106444883615,0.6013868607100682
Two-frame naive,20260734,5000,1000,20,275.9583333333333,291.66834374999996,0.003734375,0.0510735911129933,0.8194942730699619
Two-frame naive,20260735,5000,1000,20,240.39583333333334,284.4120364583333,0.004328125,0.04827815107597717,0.7009107171386941
Two-frame naive,20260736,5000,1000,20,329.4583333333333,301.2360624999999,0.0036979166666666666,0.049472661396574455,0.5909828421523943
