seed,timing,habit,steps,burn_in,population,ring_y,lookahead,error_rate,habit_weight,encounters,failures,encounter_rate,failure_rate,compatibility_rate,precoordination_rate,disposition_alignment,disposition_predictability,death_rate,persistence,convention_strength,mean_abs_habitus
20260803,simultaneous,false,600,150,120,300,60,0.01,0.5,5388,108,0.09977777777777778,0.0200445434298441,0.9799554565701559,0.9774774774774775,0.9968093093093093,0.9884231164223696,0.005222222222222222,0.9718715187523208,0.9833333333333333,0.9708115795229353
20260803,simultaneous,true,600,150,120,300,60,0.01,0.5,5449,116,0.1009074074074074,0.021288309781611305,0.9787116902183887,0.9721758486366165,0.9929512149879429,0.9859662081063614,0.005592592592592593,0.9783267517678391,1.0,0.9858763044962074
20260804,sequential,false,600,150,120,300,60,0.01,0.5,5333,102,0.09875925925925925,0.019126195387211702,0.9808738046127883,0.9759332954330112,0.9950729581201441,0.9871673900735988,0.005055555555555555,0.9694040356640075,0.9166666666666666,0.9197884780877651
20260804,sequential,true,600,150,120,300,60,0.01,0.5,5378,103,0.0995925925925926,0.019152101152844925,0.9808478988471551,0.9784159159159159,0.99756006006006,0.9891578652210486,0.005240740740740741,0.9787887245325146,0.9333333333333333,0.980775357998972
20260804,simultaneous,false,600,150,120,300,60,0.01,0.5,5442,121,0.10077777777777777,0.02223447262036016,0.9777655273796398,0.9680237962446552,0.9894032348020078,0.9838112858464385,0.005888888888888889,0.9672643678160919,0.9333333333333333,0.8862974360871286
20260804,simultaneous,true,600,150,120,300,60,0.01,0.5,5406,106,0.10011111111111111,0.0196078431372549,0.9803921568627451,0.9656716417910448,0.9850746268656716,0.9825213834139085,0.004981481481481482,0.9750046287724495,0.95,0.9776243018128168
20260805,sequential,false,600,150,120,300,60,0.01,0.5,5183,101,0.09598148148148149,0.019486783715994598,0.9805132162840055,0.9781591263650546,0.999609984399376,0.9880628881987578,0.0050185185185185185,0.9696881938411044,0.9833333333333333,0.9412163242528145
20260805,sequential,true,600,150,120,300,60,0.01,0.5,5488,104,0.10162962962962963,0.018950437317784258,0.9810495626822158,0.9729829075537585,0.9919132512405808,0.9866324848928768,0.004907407407407407,0.9775731607256815,1.0,0.9679223901052957
20260805,simultaneous,false,600,150,120,300,60,0.01,0.5,5170,96,0.09574074074074074,0.018568665377176014,0.981431334622824,0.9800897911380051,0.998828811243412,0.9900855365474339,0.004277777777777778,0.976296439628483,0.9666666666666667,0.9633960345693571
20260805,simultaneous,true,600,150,120,300,60,0.01,0.5,5208,102,0.09644444444444444,0.019585253456221197,0.9804147465437788,0.9779283639883833,0.9974830590513069,0.9890046296296297,0.004814814814814815,0.9802151363810987,0.9833333333333333,0.9588903049847025
20260806,sequential,false,600,150,120,300,60,0.01,0.5,5416,102,0.1002962962962963,0.01883308714918759,0.9811669128508124,0.9803994773193951,0.999066641777114,0.989322191272052,0.004962962962962963,0.9679564133345646,0.9833333333333333,0.9809329973408862
20260806,sequential,true,600,150,120,300,60,0.01,0.5,5448,111,0.10088888888888889,0.020374449339207047,0.9796255506607929,0.9708503527664315,0.9916450055699962,0.9850401699141195,0.005240740740740741,0.9751170691396566,1.0,0.9814368639553351
20260806,simultaneous,false,600,150,120,300,60,0.01,0.5,5378,126,0.0995925925925926,0.02342878393454816,0.9765712160654518,0.9701296261506669,0.9926733045275221,0.9848555669813966,0.0055,0.9677269345238095,0.9833333333333333,0.9866988247787636
20260806,simultaneous,true,600,150,120,300,60,0.01,0.5,5557,104,0.1029074074074074,0.018715134065143062,0.981284865934857,0.9788860575172916,0.9974517655624318,0.9894956080775151,0.004611111111111111,0.976231205546052,1.0,0.9602015722336027
20260807,sequential,false,600,150,120,300,60,0.01,0.5,5408,111,0.10014814814814815,0.020525147928994084,0.9794748520710059,0.9728870605833957,0.9942034405385191,0.9852079263187273,0.005314814814814815,0.9697474326949764,0.9666666666666667,0.9478419164482788
20260807,sequential,true,600,150,120,300,60,0.01,0.5,5419,104,0.10035185185185186,0.01919173279202805,0.980808267207972,0.9806078687301883,1.0,0.9901633259094283,0.005296296296296296,0.9779357459379616,0.95,0.9194726188905615
20260807,simultaneous,false,600,150,120,300,60,0.01,0.5,5489,120,0.10164814814814815,0.0218619056294407,0.9781380943705593,0.9764576052970388,0.9977929004965974,0.987912087912088,0.005407407407407408,0.9671951886276654,0.9666666666666667,0.9110873125107254
20260807,simultaneous,true,600,150,120,300,60,0.01,0.5,5425,105,0.10046296296296296,0.01935483870967742,0.9806451612903225,0.9795539033457249,0.9985130111524163,0.9899074074074075,0.004481481481481481,0.9814661134163208,1.0,0.9818549296628335
20260808,sequential,false,600,150,120,300,60,0.01,0.5,5394,108,0.09988888888888889,0.020022246941045607,0.9799777530589544,0.9614232209737827,0.9838951310861423,0.9792152111100755,0.0053518518518518516,0.9666141148103496,0.9333333333333333,0.9206741435915553
20260808,sequential,true,600,150,120,300,60,0.01,0.5,5314,95,0.0984074074074074,0.017877305231464056,0.982122694768536,0.9682569853639993,0.9857441551035925,0.9838251986379115,0.004629629629629629,0.9781647058823529,0.9666666666666667,0.9681015166244857
20260808,simultaneous,false,600,150,120,300,60,0.01,0.5,5446,113,0.10085185185185185,0.020749173705471906,0.9792508262945281,0.9743446737311768,0.9942368469975832,0.9867690599555885,0.00587037037037037,0.9672643678160919,0.95,0.9431615717973545
20260808,simultaneous,true,600,150,120,300,60,0.01,0.5,5454,100,0.101,0.018335166850018333,0.9816648331499817,0.9799591760994618,0.9981443681573576,0.9898523985239852,0.004722222222222222,0.9803777737025491,0.9666666666666667,0.9878240060221538
20260809,sequential,false,600,150,120,300,60,0.01,0.5,5301,112,0.09816666666666667,0.021128089039803812,0.9788719109601962,0.9566214408561055,0.9780240779667495,0.9780522565320665,0.005907407407407407,0.9678119690390787,0.95,0.9654278749962178
20260809,sequential,true,600,150,120,300,60,0.01,0.5,5397,112,0.09994444444444445,0.020752269779507133,0.9792477302204928,0.9731505820503192,0.9943672549755914,0.9864663057681539,0.005240740740740741,0.9752456888559243,0.9166666666666666,0.9320877162491541
20260809,simultaneous,false,600,150,120,300,60,0.01,0.5,5396,124,0.09992592592592593,0.022979985174203115,0.9770200148257969,0.9738023952095808,0.9960703592814372,0.9868629460542253,0.005425925925925926,0.9720007417022065,0.9666666666666667,0.9738384469903668
20260809,simultaneous,true,600,150,120,300,60,0.01,0.5,5372,93,0.09948148148148148,0.01731198808637379,0.9826880119136262,0.9786156443444006,0.9958731945226036,0.9891588785046729,0.0043518518518518515,0.9784005213667256,0.9833333333333333,0.9497363084206902
20260810,sequential,false,600,150,120,300,60,0.01,0.5,5401,101,0.10001851851851852,0.018700240696167377,0.9812997593038326,0.9727662749487036,0.9919791083753031,0.9857780256553262,0.005296296296296296,0.9686979070198185,0.9666666666666667,0.9501317514464116
20260810,sequential,true,600,150,120,300,60,0.01,0.5,5415,106,0.10027777777777777,0.019575253924284396,0.9804247460757156,0.9787749022528394,0.9988828895922547,0.9892403302105556,0.004740740740740741,0.9793995381062356,0.95,0.981006529613967
20260810,simultaneous,false,600,150,120,300,60,0.01,0.5,5450,117,0.10092592592592593,0.02146788990825688,0.9785321100917431,0.9725976670986854,0.993519718570635,0.9863531581373906,0.005333333333333333,0.9647577092511013,0.9666666666666667,0.9247464198961881
20260810,simultaneous,true,600,150,120,300,60,0.01,0.5,5417,98,0.10031481481481481,0.01809119438803766,0.9819088056119624,0.9773402674591382,0.9951708766716196,0.9888837424733673,0.0045,0.98134466198744,1.0,0.9493069679566322
20260811,sequential,false,600,150,120,300,60,0.01,0.5,5398,119,0.09996296296296296,0.022045201926639495,0.9779547980733605,0.9714928732183046,0.9951237809452363,0.984984144749114,0.00612962962962963,0.9691323692992213,0.9833333333333333,0.9567452238670674
20260811,sequential,true,600,150,120,300,60,0.01,0.5,5380,102,0.09962962962962962,0.01895910780669145,0.9810408921933086,0.9763557890786264,0.9949333833739914,0.9883210314864991,0.004888888888888889,0.9774967453970616,0.9666666666666667,0.9503024670975608
20260811,simultaneous,false,600,150,120,300,60,0.01,0.5,5417,117,0.10031481481481481,0.021598670851024553,0.9784013291489755,0.9747946228528753,0.9962658700522778,0.9872712069125709,0.005814814814814815,0.9651732101616628,0.9666666666666667,0.9609411176516226
20260811,simultaneous,true,600,150,120,300,60,0.01,0.5,5454,102,0.101,0.0187018701870187,0.9812981298129813,0.9607189179173615,0.9788771539744302,0.9806362378976486,0.004851851851851852,0.9758759860576041,0.9833333333333333,0.9476950311645351
20260812,sequential,false,600,150,120,300,60,0.01,0.5,5382,117,0.09966666666666667,0.021739130434782608,0.9782608695652174,0.9725718579748263,0.9953034003381552,0.9848612279226241,0.006055555555555555,0.9715613382899628,0.95,0.9316662580924693
