seed,treatment,policy,fixed_risk_aversion,steps,burn_in,population,ring_x,ring_y,lookahead,error_rate,mixture_share,capability_mutation_rate,trait_mutation_scale,mean_convention_strength,coordinated_fraction,time_to_convention,completed_cells_per_car_step,mean_proposed_speed,mean_realized_speed,dangerous_proposal_acceptance,replacement_pressure,population_risk_mean,population_risk_std,survivor_risk_mean,selected_parent_risk_mean,final_risk_mean,final_risk_std,final_risk_q10,final_risk_median,final_risk_q90
20260906,fixed_0.5,fixed risk aversion,0.5,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9590250000000003,0.9995,38,2.904435416666667,2.9665916666666665,2.9798950507112396,0.49699526175892755,0.025322916666666667,0.5,0.0,0.5,NaN,0.5,0.0,0.5,0.5,0.5
20260906,fixed_1.0,fixed risk aversion,1.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9611166666666668,0.999,85,2.8774479166666667,2.92378125,2.946186121616635,0.0,0.02333125,1.0,0.0,1.0,NaN,1.0,0.0,1.0,1.0,1.0
20260906,uniform_entry,uniform entry risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9590750000000002,0.99925,235,2.903591666666667,2.9659166666666668,2.9795070226820872,0.48974890578207786,0.025479166666666667,0.5073393487004488,0.2900969501799691,0.5075262709854741,NaN,0.49103777473883026,0.30814615102562715,0.057488260310273744,0.49575468922179794,0.9317954473529638
20260906,uniform_evolutionary,uniform evolutionary risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9717916666666669,1.0,63,2.938445833333333,2.9929958333333335,2.99649034845826,0.8551111111111112,0.019370833333333334,0.1438621151056739,0.13254228854999076,0.1438302949360991,0.1414582543158138,0.10910851913865612,0.10707898225485271,0.0,0.07743501649690807,0.2568562073779983
20260907,fixed_0.0,fixed risk aversion,0.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.965591666666667,1.0,143,2.93555625,3.0,3.0,1.0,0.02148125,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
20260907,fixed_0.5,fixed risk aversion,0.5,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9602916666666668,1.0,21,2.904839583333333,2.9665916666666665,2.9798320225679604,0.495126479461592,0.025166666666666667,0.5,0.0,0.5,NaN,0.5,0.0,0.5,0.5,0.5
20260907,fixed_1.0,fixed risk aversion,1.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9585500000000002,0.99975,42,2.87120625,2.9193229166666668,2.9424189178514166,0.0,0.024202083333333332,1.0,0.0,1.0,NaN,1.0,0.0,1.0,1.0,1.0
20260907,uniform_entry,uniform entry risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9602666666666668,0.99975,37,2.906829166666667,2.9676520833333333,2.9806626647582832,0.49913685338413,0.024770833333333332,0.49716432099540975,0.28858025289025085,0.4970783260970634,NaN,0.48894387480715445,0.31003937491831596,0.06796186317652211,0.49388001912965374,0.8927967596295168
20260907,uniform_evolutionary,uniform evolutionary risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9667708333333335,1.0,215,2.903775,2.9521520833333335,2.9690824425594644,0.25544578026425424,0.021995833333333333,0.7411766917976162,0.18826923725496988,0.7411377745276855,0.7450691973656552,0.8984975555124455,0.10938952176976413,0.7200378961313383,0.931096410999261,1.0
20260908,fixed_0.0,fixed risk aversion,0.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9673208333333335,1.0,124,2.9387,3.0,3.0,1.0,0.020433333333333335,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
