seed,replacement,speed_policy,speed_clearance,steps,burn_in,lookahead,mean_convention_strength,coordinated_fraction,replacement_rate,mean_proposed_speed,successful_progress,speed_one_share,speed_two_share,speed_three_share
20261006,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9612000000000003,0.99925,0.01189375,1.987012499999999,1.9659062499999993,0.0129875,0.9870125,0.0
20261006,evolutionary,speed-first,0.0,5000,1000,20,0.8701166666666668,0.82975,0.0345125,2.9442958333333324,2.860135416666666,0.0233875,0.008929166666666667,0.9676833333333333
20261006,evolutionary,lane-first,0.0,5000,1000,20,0.9523208333333334,0.99675,0.02096458333333333,2.9482854166666668,2.898320833333333,0.020589583333333335,0.010535416666666667,0.968875
20261006,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.5877374999999999,0.17225,0.12076666666666666,2.0019729166666664,1.7701875,0.475575,0.04687708333333333,0.4775479166666667
20261006,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9447458333333335,0.9625,0.012320833333333333,1.9866479166666657,1.9647895833333329,0.013352083333333334,0.9866479166666666,0.0
20261007,static_entry,speed-first,0.0,5000,1000,20,0.6363666666666666,0.46275,0.08027916666666667,2.8821875,2.68795,0.04928333333333333,0.019245833333333334,0.9314708333333334
20261007,static_entry,lane-first,0.0,5000,1000,20,0.928675,0.9685,0.028604166666666667,2.9324874999999992,2.86460625,0.026925,0.0136625,0.9594125
20261007,static_entry,lane-first + 0.5,0.5,5000,1000,20,0.23567916666666666,0.0015,0.21366875,2.1236437500000003,1.699775,0.40769375,0.06096875,0.5313375
20261007,static_entry,lane-first cap 2,0.0,5000,1000,20,0.9554541666666668,0.9865,0.012327083333333334,1.9866520833333325,1.9647854166666658,0.013347916666666666,0.9866520833333333,0.0
20261007,evolutionary,speed-first,0.0,5000,1000,20,0.8196791666666666,0.75775,0.04604791666666667,2.9286166666666666,2.816310416666666,0.030089583333333333,0.011204166666666666,0.95870625
20261007,evolutionary,lane-first,0.0,5000,1000,20,0.9508416666666667,0.99325,0.021541666666666667,2.9493875,2.898352083333333,0.02024375,0.010125,0.96963125
20261007,evolutionary,lane-first + 0.5,0.5,5000,1000,20,0.592975,0.16425,0.12333541666666667,2.00693125,1.7678729166666667,0.47326875,0.04653125,0.4802
20261007,evolutionary,lane-first cap 2,0.0,5000,1000,20,0.9617041666666669,0.999,0.012497916666666666,1.9869979166666656,1.9647749999999995,0.013002083333333333,0.9869979166666667,0.0
20261008,static_entry,speed-first,0.0,5000,1000,20,0.6734958333333334,0.5055,0.07142083333333334,2.892308333333333,2.719677083333333,0.04518125,0.017329166666666666,0.9374895833333333
