seed,implementation,scenario,steps,burn_in,population,ring_y,lookahead,error_rate,max_speed,mean_convention_strength,final_convention_strength,mean_disposition_strength,mean_speed,replacement_rate,time_to_convention,coordinated_fraction,coordination_entries,mean_coordinated_episode,longest_coordinated_episode,final_habit_share,final_convention_share,final_social_habit_share,final_all_three_share
20260907,synchronous_capability,mixture_evolutionary_replacement,5000,1000,120,300,20,0.01,3,0.9653958333333337,0.9666666666666667,0.7374650101127631,2.9832354166666653,0.023183333333333334,53,1.0,1,4000.0,4000,0.95,0.4,0.35,0.041666666666666664
20260907,sequential_reference,no_habit,5000,1000,120,300,20,0.01,1,0.8027624999999999,0.9166666666666666,0.0,1.0,0.006695833333333333,81,0.7515,26,115.61538461538461,532,NaN,NaN,NaN,NaN
20260907,sequential_reference,habit,5000,1000,120,300,20,0.01,1,0.9710333333333337,1.0,0.9516249881488297,1.0,0.00540625,46,1.0,1,4000.0,4000,NaN,NaN,NaN,NaN
20260908,synchronous_capability,no_habit,5000,1000,120,300,20,0.01,3,0.5270208333333333,0.05,0.0,2.939064583333333,0.10263541666666667,20,0.3,142,8.450704225352112,59,0.0,0.0,0.0,0.0
20260908,synchronous_capability,habit,5000,1000,120,300,20,0.01,3,0.9536083333333335,0.8833333333333333,0.8121066636588898,2.9785708333333325,0.0272625,132,0.99875,5,799.0,2068,1.0,0.0,0.0,0.0
20260908,synchronous_capability,convention,5000,1000,120,300,20,0.01,3,0.9486375000000001,0.9666666666666667,0.8039727799291865,2.980420833333332,0.02553125,194,0.9835,5,786.8,1718,0.0,1.0,0.0,0.0
20260908,synchronous_capability,socially_formed_habit,5000,1000,120,300,20,0.01,3,0.9598791666666668,0.9333333333333333,0.7754337354246124,2.9809624999999986,0.024629166666666667,112,0.9995,3,1332.6666666666667,1803,0.0,0.0,1.0,0.0
20260908,synchronous_capability,mixture_static_replacement,5000,1000,120,300,20,0.01,3,0.9596291666666668,1.0,0.8055844931711189,2.9808291666666653,0.02498125,26,0.99975,2,1999.5,3698,0.525,0.5166666666666667,0.5166666666666667,0.175
20260908,synchronous_capability,mixture_evolutionary_replacement,5000,1000,120,300,20,0.01,3,0.9686125000000003,0.9333333333333333,0.7052432378496637,2.9839687499999985,0.021264583333333333,109,1.0,1,4000.0,4000,0.20833333333333334,0.9583333333333334,0.7166666666666667,0.03333333333333333
20260908,sequential_reference,no_habit,5000,1000,120,300,20,0.01,1,0.7498458333333335,0.95,0.0,1.0,0.006664583333333333,42,0.64475,43,59.97674418604651,509,NaN,NaN,NaN,NaN
20260908,sequential_reference,habit,5000,1000,120,300,20,0.01,1,0.9723083333333337,0.95,0.9557337439299448,1.0,0.005135416666666667,66,1.0,1,4000.0,4000,NaN,NaN,NaN,NaN
20260909,synchronous_capability,no_habit,5000,1000,120,300,20,0.01,3,0.6464666666666667,0.8833333333333333,0.0,2.9440354166666665,0.08886041666666666,63,0.47625,148,12.871621621621621,108,0.0,0.0,0.0,0.0
