strategy_a,strategy_b,initial_cars,metric,mean_difference,ci_low,ci_high
Naive,Mean habitus,80,replacements,-24.38,-57.67697724396997,8.916977243969978
Naive,Mean habitus,80,replacement_rate,-0.0030475000000000003,-0.007209622155496247,0.0011146221554962465
Naive,Per-entity habitus,10,final_age,0.5149999999999996,-4.382390228241646,5.412390228241645
Naive,Per-entity habitus,10,trajectory_age,3.64974,1.4981138531431024,5.801366146856898
Naive,Per-entity habitus,10,replacements,-2.22,-3.845254785185288,-0.5947452148147123
Naive,Per-entity habitus,10,replacement_rate,-0.00222,-0.003845254785185288,-0.0005947452148147123
Naive,Per-entity habitus,20,final_age,4.7085,-0.12670580816547794,9.543705808165477
Naive,Per-entity habitus,20,trajectory_age,4.3864,2.2363784578604804,6.53642154213952
Naive,Per-entity habitus,20,replacements,-8.16,-12.45384844340709,-3.86615155659291
Naive,Per-entity habitus,20,replacement_rate,-0.00408,-0.006226924221703545,-0.0019330757782964553
Naive,Per-entity habitus,40,final_age,5.789,1.696253105765436,9.881746894234563
Naive,Per-entity habitus,40,trajectory_age,5.1077575,3.0959294863263933,7.119585513673607
Naive,Per-entity habitus,40,replacements,-40.44,-54.064818285597624,-26.815181714402367
Naive,Per-entity habitus,40,replacement_rate,-0.01011,-0.013516204571399407,-0.006703795428600591
Naive,Per-entity habitus,60,final_age,3.9938333333333333,0.010649372946738733,7.977017293719928
Naive,Per-entity habitus,60,trajectory_age,4.128488333333334,2.0577467738239568,6.199229892842712
Naive,Per-entity habitus,60,replacements,-100.0,-136.43816681237496,-63.56183318762503
Naive,Per-entity habitus,60,replacement_rate,-0.016666666666666666,-0.02273969446872916,-0.010593638864604172
Naive,Per-entity habitus,80,final_age,2.5473750000000006,-0.7769354442974934,5.871685444297494
Naive,Per-entity habitus,80,trajectory_age,3.8238600000000003,1.9101256654280787,5.737594334571922
Naive,Per-entity habitus,80,replacements,-208.59,-281.9328027430949,-135.2471972569051
Naive,Per-entity habitus,80,replacement_rate,-0.026073749999999996,-0.035241600342886856,-0.016905899657113137
